#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-11-07T21:53:24 [V7.4.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-11-07T21:53:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=1000&-order=I&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out.src=VII/92A/catalog&-source=VII/92A/catalog&-out=RA1950&-out=DE1950&-out=Diam&-out=Dist&-out=log.Age&-out=[Fe/H]&-out=E(B-V)&-out=Cname&-out=_RA.icrs&-out=_DE.icrs&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7092
#Name: VII/92A
#Title: Open Cluster Data 5th Edition (Lynga 1987)
#INFO	ivoid=ivo://cds.vizier/vii/92a	    IVOID of underlying data collection
#INFO	creator=LYNGA G.: 1987	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/92A	    Dataset landing page
#INFO	publication_date=2018-01-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1950:	eq_FK4 B1950
#Table	VII_92A_catalog:
#Name: VII/92A/catalog
#Title: The Catalogue Data File
#Column	RA1950	(A7)	Right Ascension 1950	[ucd=pos.eq.ra]
#Column	DE1950	(A6)	Declination 1950	[ucd=pos.eq.dec]
#Column	Diam	(F6.1)	? Selected Angular diameter	[ucd=phys.angSize]
#Column	Dist	(I4)	? Distance	[ucd=pos.distance]
#Column	log.Age	(F5.2)	[6/10]? log(age), years	[ucd=arith.zp]
#Column	[Fe/H]	(F5.2)	[-.8/.3]? Metallicity, logarithmic scale	[ucd=instr.scale]
#Column	E(B-V)	(F6.2)	[0/2]? Reddening	[ucd=phot.color.excess]
#Column	Cname	(A9)	[C0-9+-] Cluster "C" designation (4)	[ucd=meta.id;meta.main]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
RA1950	DE1950	Diam	Dist	log.Age	[Fe/H]	E(B-V)	Cname	_RA.icrs	_DE.icrs
"h:m:s"	"d:m:s"	arcmin	pc	[yr]	[Sun]	mag	 	"h:m:s"	"d:m:s"
-------	------	------	----	-----	-----	------	---------	----------	---------
23 57.6	+60 41	   7.0	    	     	     	      	C2357+606	00 00 09.2	+60 57 42
23 59.0	+64 22	   5.0	    	     	     	      	C2359+643	00 01 33.9	+64 38 42
00 00.0	+67 06	  10.0	    	     	     	      	C0000+671	00 02 34.7	+67 22 42
00 00.9	+63 19	   4.0	    	     	     	      	C0000+633	00 03 29.0	+63 35 42
00 01.7	-30 12	  89.0	 190	 7.70	 0.03	  0.09	C0001-302	00 04 15.3	-29 55 18
00 01.8	+55 45	   3.0	    	     	     	      	C0001+557	00 04 23.1	+56 01 42
00 05.1	+61 08	   9.0	    	     	     	      	C0005+611	00 07 43.2	+61 24 42
00 07.0	+60 09	   5.0	    	     	     	      	C0007+601	00 09 38.0	+60 25 41
00 07.5	+60 56	   7.0	    	     	     	      	C0007+609	00 10 08.4	+61 12 41
00 15.0	+60 41	   4.0	    	     	     	      	C0015+606	00 17 42.3	+60 57 39
00 19.2	+64 07	   7.0	    	     	     	      	C0019+641	00 21 58.2	+64 23 38
00 22.5	+60 07	   4.0	    	     	     	      	C0022+601	00 25 15.9	+60 23 37
00 22.5	+61 04	   5.0	3000	 7.58	     	  0.54	C0022+610	00 25 16.4	+61 20 37
00 24.4	+71 07	      	    	     	     	      	C0024+711	00 27 19.9	+71 23 36
00 27.1	+59 57	  21.0	1600	 8.18	     	  0.59	C0027+599	00 29 54.2	+60 13 34
00 27.3	+57 42	   5.0	    	     	     	      	C0027+577	00 30 05.0	+57 58 34
00 28.4	+63 05	   7.0	    	     	     	      	C0028+630	00 31 14.9	+63 21 33
00 28.7	+61 15	   1.2	4400	 8.30	     	  0.40	C0028+612	00 31 31.8	+61 31 33
00 29.0	+62 53	   7.0	2600	 7.20	     	  0.55	C0029+628	00 31 51.1	+63 09 33
00 30.1	+61 35	   1.5	    	     	     	      	C0030+615	00 32 56.8	+61 51 33
00 30.2	+63 01	   6.0	2900	 7.10	     	  0.69	C0030+630	00 33 03.9	+63 17 32
00 36.8	+61 41	   4.0	1900	 6.40	     	  0.58	C0036+616	00 39 42.5	+61 57 28
00 36.7	+60 48	   3.7	1080	 7.30	     	  0.54	C0036+608	00 39 35.7	+61 04 28
00 40.5	+61 31	  12.0	 630	 8.15	     	  0.28	C0040+615	00 43 26.3	+61 47 25
00 40.7	+63 55	   3.0	2300	     	     	      	C0040+639	00 43 40.9	+64 11 25
00 40.8	+59 53	  10.0	    	     	     	      	C0040+598	00 43 43.0	+60 09 25
00 39.4	+85 04	  13.0	1550	 9.70	-0.06	  0.04	C0039+850	00 44 22.5	+85 20 25
00 42.5	+64 08	   5.0	    	     	     	      	C0042+641	00 45 30.2	+64 24 24
00 45.4	+66 58	   4.0	    	     	     	      	C0045+669	00 48 29.9	+67 14 21
00 47.0	+63 52	  12.0	    	     	     	      	C0047+638	00 50 02.6	+64 08 20
00 48.1	+57 55	   5.0	    	     	     	      	C0048+579	00 51 02.8	+58 11 19
00 49.9	+56 21	   4.0	    	     	     	      	C0049+563	00 52 50.2	+56 37 17
00 57.9	+63 41	  10.0	2050	 7.00	     	      	C0057+636	01 01 02.6	+63 57 08
01 00.0	+62 32	   3.0	    	     	     	      	C0100+625	01 03 08.1	+62 48 06
01 03.3	+61 58	   3.0	    	     	     	      	C0103+619	01 06 27.0	+62 14 02
01 05.2	+61 19	   6.0	    	     	     	      	C0105+613	01 08 21.0	+61 35 00
01 09.1	+62 04	   2.0	    	     	     	      	C0109+620	01 12 18.2	+62 19 55
02 15.2	+58 05	      	2600	 7.20	     	  1.06	C0215+580	02 18 46.4	+58 18 48
01 12.1	+59 52	   2.5	    	     	     	      	C0112+598	01 15 16.3	+60 07 51
01 12.5	+58 33	   5.0	2200	 7.90	     	  0.15	C0112+585	01 15 38.6	+58 48 50
01 15.9	+58 04	  13.0	2800	 7.40	     	  0.47	C0115+580	01 19 03.5	+58 19 45
00 22.1	+62 22	   1.0	    	     	     	      	C0022+623	00 24 52.9	+62 38 37
01 26.1	+63 03	   4.4	 900	 9.10	-0.76	  0.90	C0126+630	01 29 29.1	+63 18 29
01 29.9	+60 27	   6.0	2700	 7.60	     	  0.38	C0129+604	01 33 13.8	+60 42 23
01 32.0	+61 11	   3.0	    	     	     	      	C0132+611	01 35 22.3	+61 26 19
01 32.3	+61 02	   4.5	2200	 7.41	     	  0.43	C0132+610	01 35 40.1	+61 17 19
01 33.7	+64 18	   3.0	3100	 8.30	     	  0.91	C0133+643	01 37 12.2	+64 33 16
01 39.4	+63 45	   3.5	2100	 7.60	     	  0.39	C0139+637	01 42 56.0	+64 00 06
01 40.5	+55 37	      	    	     	     	      	C0140+556	01 43 46.0	+55 52 04
01 40.6	+61 38	   5.0	1600	 7.18	     	  0.86	C0140+616	01 44 03.5	+61 53 04
